model,train_rows,test_rows,cv_roc_auc_mean,cv_roc_auc_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
Random Forest,1774,444,0.9125042992438711,0.018490189481381987,0.8603603603603603,0.8278688524590164,0.9099099099099099,0.8669527896995708,0.9241133024916809
SVM,1774,444,0.9062621019904379,0.01551475065846915,0.8513513513513513,0.8223140495867769,0.8963963963963963,0.8577586206896551,0.9209479750020291
Logistic Regression,1774,444,0.8644378740880134,0.00981815476047964,0.795045045045045,0.788546255506608,0.8063063063063063,0.7973273942093542,0.8714592971349727
