class_value,class_label,probability_min,probability_max,pixel_count,area_percent,landslide_count,landslide_percent
1,Very Low,0.0,0.2,1727469,55.354006035697644,6,0.5410279531109108
2,Low,0.2,0.4,629255,20.16347909455563,32,2.8854824165915236
3,Moderate,0.4,0.6,361329,11.578215092063935,97,8.746618575293057
4,High,0.6,0.8,264985,8.491024319029366,300,27.051397655545532
5,Very High,0.8,1.0,137728,4.413275458653421,674,60.77547339945897
