longitude,latitude,rain_1h_mm,rain_3h_mm,rain_24h_mm,rain_72h_mm,current_rain_mm,current_precipitation_mm,latest_time,rainfall_trigger_score
85.7087560762858,27.695128703143023,0.1,0.7000000000000001,14.100000000000001,25.800000000000004,0.0,0.0,2026-07-31T09:15:00,0.14333333333333337
85.79779934771437,27.695128703143023,0.1,1.2000000000000002,17.6,40.1,0.0,0.0,2026-07-31T09:15:00,0.2227777777777778
85.88684261914295,27.695128703143023,0.3,0.5,14.900000000000002,49.0,0.0,0.1,2026-07-31T09:15:00,0.2722222222222222
85.61971280485722,27.779838198285884,0.1,0.5,6.4,27.8,0.0,0.0,2026-07-31T09:15:00,0.15444444444444444
85.7087560762858,27.779838198285884,0.1,1.3,13.899999999999999,33.5,0.0,0.0,2026-07-31T09:15:00,0.18611111111111112
85.79779934771437,27.779838198285884,0.1,1.3,13.899999999999999,33.5,0.0,0.0,2026-07-31T09:15:00,0.18611111111111112
85.88684261914295,27.779838198285884,0.1,0.7000000000000001,14.100000000000001,25.800000000000004,0.0,0.0,2026-07-31T09:15:00,0.14333333333333337
85.97588589057153,27.779838198285884,0.2,1.5999999999999999,16.0,23.9,0.1,0.1,2026-07-31T09:15:00,0.16
85.53066953342864,27.86454769342874,0.0,0.2,3.3000000000000003,33.0,0.0,0.0,2026-07-31T09:15:00,0.18333333333333332
85.61971280485722,27.86454769342874,0.5,1.6,15.9,47.4,0.0,0.1,2026-07-31T09:15:00,0.2633333333333333
85.7087560762858,27.86454769342874,0.3,2.0,34.7,73.7,0.1,0.1,2026-07-31T09:15:00,0.40944444444444444
85.79779934771437,27.86454769342874,0.2,1.7,29.699999999999996,36.4,0.1,0.1,2026-07-31T09:15:00,0.29699999999999993
85.88684261914295,27.86454769342874,0.2,1.5999999999999999,16.0,23.9,0.1,0.1,2026-07-31T09:15:00,0.16
85.97588589057153,27.86454769342874,1.3,2.5,48.7,72.6,0.0,0.3,2026-07-31T09:15:00,0.48700000000000004
85.53066953342864,27.9492571885716,0.2,1.0,17.4,32.0,0.1,0.1,2026-07-31T09:15:00,0.17777777777777778
85.61971280485722,27.9492571885716,0.2,1.4,31.4,56.2,0.1,0.1,2026-07-31T09:15:00,0.314
85.7087560762858,27.9492571885716,0.3,2.0,34.7,73.7,0.1,0.1,2026-07-31T09:15:00,0.40944444444444444
85.79779934771437,27.9492571885716,0.3,2.0,35.2,70.0,0.0,0.1,2026-07-31T09:15:00,0.3888888888888889
85.88684261914295,27.9492571885716,0.1,0.7999999999999999,24.4,39.5,0.0,0.0,2026-07-31T09:15:00,0.244
85.53066953342864,28.033966683714457,0.2,1.0,17.4,32.0,0.1,0.1,2026-07-31T09:15:00,0.17777777777777778
85.61971280485722,28.033966683714457,0.0,0.7,7.3,32.5,0.0,0.0,2026-07-31T09:15:00,0.18055555555555555
85.7087560762858,28.033966683714457,0.2,0.8,4.3,37.5,0.0,0.1,2026-07-31T09:15:00,0.20833333333333334
85.79779934771437,28.033966683714457,0.0,0.7999999999999999,9.0,39.3,0.0,0.0,2026-07-31T09:15:00,0.21833333333333332
85.88684261914295,28.033966683714457,0.1,0.6,4.800000000000001,17.2,0.0,0.0,2026-07-31T09:15:00,0.09555555555555555
85.53066953342864,28.118676178857317,0.5,1.2,14.100000000000001,54.0,0.0,0.1,2026-07-31T09:15:00,0.3
85.61971280485722,28.118676178857317,0.2,0.2,3.7,36.9,0.0,0.1,2026-07-31T09:15:00,0.205
85.7087560762858,28.118676178857317,0.5,0.9,3.0,28.5,0.0,0.1,2026-07-31T09:15:00,0.15833333333333333
85.79779934771437,28.118676178857317,0.4,1.0,5.300000000000001,26.5,0.0,0.1,2026-07-31T09:15:00,0.14722222222222223
85.73951107592136,27.9148969304763,0.3,2.0,34.7,73.7,0.1,0.1,2026-07-31T09:15:00,0.40944444444444444
