OID_,Name,FolderPath,SymbolID,AltMode,Base,Clamped,Extruded,Snippet,PopupInfo,Shape_Leng,Shape_Area,district,longitude,latitude
0,5/22/015,Sindhupalchowk.kmz/Sindhupalchowk/5/22,0,0,0.0,-1,0,,,0.0021089002733,1.74218888302e-07,Sindhupalchowk,85.92859936640484,27.798170909430326
0,5/22/015,Sindhupalchowk.kmz/Sindhupalchowk/5/22,0,0,0.0,-1,0,,,0.00171828520122,1.62334572527e-07,Sindhupalchowk,85.92575994238156,27.79949861121675
0,5/22/015,Sindhupalchowk.kmz/Sindhupalchowk/5/22,0,0,0.0,-1,0,,,0.00218414959013,1.58110708263e-07,Sindhupalchowk,85.92636134985838,27.79890723669247
0,5/22/015,Sindhupalchowk.kmz/Sindhupalchowk/5/22,0,0,0.0,-1,0,,,0.00174839954187,9.07730595777e-08,Sindhupalchowk,85.92615674811056,27.798149348910098
0,5/22/015,Sindhupalchowk.kmz/Sindhupalchowk/5/22,0,0,0.0,-1,0,,,0.00116407659985,4.78138592643e-08,Sindhupalchowk,85.93579392933783,27.81339709157548
0,5/4/015,Sindhupalchowk.kmz/Sindhupalchowk/5/4,0,0,0.0,-1,0,,,0.00443686916887,6.97310427523e-07,Sindhupalchowk,85.93056739743459,27.808000478417725
0,5/22/015,Sindhupalchowk.kmz/Sindhupalchowk/5/22,0,0,0.0,-1,0,,,0.00335579817403,6.89092952997e-07,Sindhupalchowk,85.92715601117563,27.80831075858564
0,5/22/015,Sindhupalchowk.kmz/Sindhupalchowk/5/22,0,0,0.0,-1,0,,,0.00352646806097,6.69003396299e-07,Sindhupalchowk,85.92657548008795,27.807564043289556
0,5/22/015,Sindhupalchowk.kmz/Sindhupalchowk/5/22,0,0,0.0,-1,0,,,0.00467476971454,6.05477769644e-07,Sindhupalchowk,85.92818008125212,27.80776028484553
0,5/22/015,Sindhupalchowk.kmz/Sindhupalchowk/5/22,0,0,0.0,-1,0,,,0.00205614852954,2.46420111249e-07,Sindhupalchowk,85.92928327639954,27.808474364682205
0,5/4/015,Sindhupalchowk.kmz/Sindhupalchowk/5/4,0,0,0.0,-1,0,,,0.00323469684848,2.45606230914e-07,Sindhupalchowk,85.92569347830828,27.80176923123647
0,5/22/015,Sindhupalchowk.kmz/Sindhupalchowk/5/22,0,0,0.0,-1,0,,,0.00213709290679,1.83608122684e-07,Sindhupalchowk,85.92242972155572,27.797965652229323
0,5/3/015,Sindhupalchowk.kmz/Sindhupalchowk/5/3,0,0,0.0,-1,0,,,0.00441392341081,6.27969759968e-07,Sindhupalchowk,85.84942197922433,27.82314192853374
0,5/22/015,Sindhupalchowk.kmz/Sindhupalchowk/5/22,0,0,0.0,-1,0,,,0.00201115598697,2.83432774421e-07,Sindhupalchowk,85.93420073792365,27.801685819820197
0,5/3/015,Sindhupalchowk.kmz/Sindhupalchowk/5/3,0,0,0.0,-1,0,,,0.000821365740525,4.08036198651e-08,Sindhupalchowk,85.83175875213708,27.757413640534413
0,2/1/016,Sindhupalchowk.kmz/Sindhupalchowk/2/1,0,0,0.0,-1,0,,,0.00129535310141,5.77010271981e-08,Sindhupalchowk,85.5890194462875,27.93641065513173
0,12/4/014,Sindhupalchowk.kmz/Sindhupalchowk/12/4,1,0,0.0,-1,0,,,0.00489872133577,5.1685647092e-07,Sindhupalchowk,85.93417320020193,27.79983349104638
0,12/4/014,Sindhupalchowk.kmz/Sindhupalchowk/12/4,1,0,0.0,-1,0,,,0.00649274984046,6.41373284471e-07,Sindhupalchowk,85.9329472041279,27.79831459417169
0,5/22/015,Sindhupalchowk.kmz/Sindhupalchowk/5/22,0,0,0.0,-1,0,,,0.00420390080877,4.8885189345e-07,Sindhupalchowk,85.94003982035915,27.80034880712598
0,5/4/015,Sindhupalchowk.kmz/Sindhupalchowk/5/4,0,0,0.0,-1,0,,,0.00869767241205,3.10340643714e-06,Sindhupalchowk,85.9596913398223,27.81702396836746
0,2/13/013,Sindhupalchowk.kmz/Sindhupalchowk/2/13,0,0,0.0,-1,0,,,0.00260778379428,4.5906255701e-07,Sindhupalchowk,85.96479580976082,27.790377872285358
0,5/4/015,Sindhupalchowk.kmz/Sindhupalchowk/5/4,0,0,0.0,-1,0,,,0.00202717110709,1.31457164729e-07,Sindhupalchowk,85.98138946496933,27.821634887390815
0,5/4/015,Sindhupalchowk.kmz/Sindhupalchowk/5/4,0,0,0.0,-1,0,,,0.0034513353711,6.15788398219e-07,Sindhupalchowk,85.95635387573834,27.813088035429217
0,5/22/015,Sindhupalchowk.kmz/Sindhupalchowk/5/22,0,0,0.0,-1,0,,,0.00531536404669,1.3629156143e-06,Sindhupalchowk,85.96835536995651,27.81001802947463
0,5/4/015,Sindhupalchowk.kmz/Sindhupalchowk/5/4,0,0,0.0,-1,0,,,0.00971634814209,2.50475094101e-06,Sindhupalchowk,85.98332763676522,27.818551817665668
0,5/4/015,Sindhupalchowk.kmz/Sindhupalchowk/5/4,0,0,0.0,-1,0,,,0.0030459628891,2.84259455438e-07,Sindhupalchowk,85.98240206496537,27.822325467093787
0,5/4/015,Sindhupalchowk.kmz/Sindhupalchowk/5/4,0,0,0.0,-1,0,,,0.00791389970104,8.95624470599e-07,Sindhupalchowk,85.9827689232729,27.820792986544514
0,3/8/04,Sindhupalchowk.kmz/Sindhupalchowk/3/8,1,0,0.0,-1,0,,,0.00522024749986,7.14870075849e-07,Sindhupalchowk,85.87433748294748,27.82798322281872
0,2/1/016,Sindhupalchowk.kmz/Sindhupalchowk/2/1,0,0,0.0,-1,0,,,0.00871777776186,3.07395882279e-06,Sindhupalchowk,85.4953221205932,27.946364876389136
0,2/1/016,Sindhupalchowk.kmz/Sindhupalchowk/2/1,0,0,0.0,-1,0,,,0.00300865335482,1.80130619499e-07,Sindhupalchowk,85.52679247019996,27.93450578161548
