sample_id,longitude,latitude,Slope,Elevation,Aspect_sin,Aspect_cos,NDVI,LULC,Rainfall,River Proximity,Road Proximity,TWI,landslide
bg_885,85.78337116097714,27.709971422391664,30.943567276000977,957.0,0.39648750050536485,0.9180401200072948,0.7971269488334656,10.0,4.292092323303223,1236.931687685298,67.0820393249937,13.887808482498404,0
bg_464,85.49096953599623,27.96060138666101,5.5863356590271,2778.0,-0.7494965170204048,-0.6620082861824934,0.8811047077178955,10.0,4.546175479888916,7448.825410761082,560.4462507680821,17.434595248549005,0
1429,85.93043108353415,27.912360053035574,55.89175796508789,1730.0,-0.8932817684924333,0.4494971435716034,0.4492307603359222,10.0,4.404165267944336,531.6013544000805,120.0,13.85323338697166,1
bg_284,85.70521773125874,28.01396131453771,34.22249221801758,2712.0,-0.9974478916820549,0.07139820291172266,0.7591003775596619,10.0,4.635933876037598,7075.422248883808,1634.6559270990333,15.19644250698977,0
bg_987,85.92862874241926,27.919907704290395,55.63692474365234,1408.0,0.8017132820868017,-0.5977088031187162,0.4000000059604645,30.0,4.404165267944336,0.0,241.86773244895647,15.060972715978446,0
1101,85.61504404496674,27.982017877857324,35.57832336425781,2078.0,-0.23062096711057922,-0.9730436627042905,0.5114460587501526,30.0,4.582652568817139,2194.925966860841,30.0,14.886240250251364,1
bg_659,85.71114661213393,27.95494200037105,48.6474494934082,2762.0,-0.7903557065848476,-0.6126482327312847,0.8707597851753235,10.0,4.318940162658691,7446.1063650743,1320.340865079923,14.982015401991594,0
bg_282,85.49528144936001,28.03902431096465,55.14308547973633,4057.0,0.9835943418806912,0.18039448611387796,0.3594019412994385,100.0,4.541608810424805,13079.7935763528,942.0191080864548,14.852750599473744,0
bg_512,85.59256899463016,27.926375574336056,29.753965377807617,2348.0,-0.9935639545240514,-0.11327253979022721,0.7162319421768188,10.0,5.441863059997559,3736.6562592778055,300.0,15.395665173778122,0
bg_389,85.71707549300912,28.01342232536724,28.004919052124023,3025.0,-0.930904963426496,-0.3652614804053585,0.7164933681488037,10.0,4.635933876037598,6158.993424253675,818.8406438373709,15.481014034085216,0
347,85.65686237563966,27.86511918282058,35.176292419433594,1913.0,-0.9612685224636209,-0.2756135477813222,0.7495679259300232,60.0,4.626403331756592,4744.554773632612,84.8528137423857,14.69391622825298,1
bg_557,85.50686971652515,27.89700066454535,30.37469291687012,1730.0,-0.3437608313853452,-0.9390572351061762,0.4853611886501312,30.0,4.496346950531006,3422.104615583808,0.0,14.899377075169442,0
75,85.49107371555549,27.90409504606614,42.37957382202149,2075.0,-0.46171483268605357,-0.8870284174014322,0.4871068298816681,10.0,4.496346950531006,5272.665360138077,30.0,14.811795946434906,1
1050,85.62759901079028,27.918978264812765,50.70295333862305,1280.0,0.8396202117088962,-0.5431739133002507,0.5266613364219666,10.0,4.625964164733887,180.0,134.1640786499874,14.167220528822542,1
225,85.51154522489664,27.895807322855187,48.47872543334961,1551.0,0.3243370471817275,-0.9459415837277891,0.591791033744812,30.0,4.496346950531006,2910.0,182.48287590894657,14.0976703656581,1
bg_805,85.64592892250685,28.06462629656205,35.176788330078125,3297.0,0.6246675044380957,0.780890843139476,0.580920934677124,10.0,4.772528171539307,10036.020127520673,2970.151511286924,16.05398818967058,0
940,85.68825083991696,27.916170653173484,55.76056289672852,2475.0,-0.9226608770048346,-0.3856123779712855,0.8316571712493896,10.0,4.548963069915772,5692.890302825095,468.61498055439927,14.41275386552902,1
bg_55,85.51199011364463,27.80240806512756,11.927546501159668,1260.0,0.08663494166978669,0.9962401251113472,0.4716804623603821,40.0,4.618796348571777,6545.571021690927,30.0,15.65520686603171,0
920,85.52317299991915,27.93491520447024,35.17137908935547,1941.0,-0.7020461729964262,-0.7121314281655262,0.6440480947494507,10.0,5.221707344055176,3005.0956723538766,94.8683298050514,14.82409605769718,1
bg_381,85.46698451791025,27.855498498419024,35.340065002441406,1732.0,0.2840293250392027,0.9588155935933536,0.5960531234741211,10.0,4.607892036437988,7960.351751022061,0.0,14.8131800563967,0
bg_785,85.85640419357605,27.6493351407136,23.90006828308105,1904.0,-0.1649561981691614,-0.9863008935844966,0.5523329377174377,10.0,4.407373905181885,7978.872100742059,67.0820393249937,15.59999902365364,0
bg_818,85.68797007780364,28.13981528584285,41.02757263183594,5634.0,-0.4852432675625628,-0.8743791919328862,-0.0353924892842769,70.0,3.902299880981445,7299.376685717761,10398.711458637556,15.678840566814696,0
