sample_id,longitude,latitude,Slope,Elevation,Aspect,NDVI,LULC,Rainfall,River Proximity,Road Proximity,TWI,landslide
1,85.74194461412213,27.86381603246813,55.198463439941406,1493.0,152.7307891845703,0.6620630025863647,30.0,4.696327209472656,1380.0,123.69316876852982,13.656511977832,1
2,85.88764172041945,27.86256773330516,38.278560638427734,1724.0,315.88604736328125,0.6453143358230591,10.0,4.586504936218262,657.9513659838393,666.1080993352356,14.396695358888715,1
3,85.73704296190492,27.86301697669006,61.363067626953125,1626.0,138.70736694335938,0.4318309426307678,60.0,4.696327209472656,1920.0,60.0,13.776602978642284,1
4,85.73667548204722,27.89870797787304,45.40750503540039,1942.0,155.4598388671875,0.7058193683624268,10.0,4.452770709991455,2430.0,0.0,14.40572178276577,1
5,85.74008102667753,27.89227066206497,30.669240951538086,1457.0,169.32093811035156,0.6223297119140625,10.0,4.696327209472656,2040.0,42.42640687119285,14.71317989545308,1
6,85.73905613773522,27.88988402609659,30.321460723876953,1387.0,24.023000717163086,0.30490994453430176,10.0,4.696327209472656,2160.0,67.0820393249937,14.36327531228753,1
8,85.8878924444891,27.813064820876765,44.87065887451172,1104.0,224.31703186035156,0.26266852021217346,30.0,4.941662311553955,108.16653826391968,60.0,14.293348512791944,1
9,85.58133491666376,28.03222396008928,23.619983673095703,2877.0,141.01950073242188,0.41203704476356506,30.0,4.835017204284668,8623.004116895689,1221.1879462228571,15.701460029340591,1
10,85.72544838528468,27.889435394823177,34.29833984375,1841.0,36.20747375488281,0.8132522702217102,10.0,4.696327209472656,3595.6223383442257,192.09372712298546,14.807072980342427,1
12,85.73416217450067,27.891364525664123,38.99348449707031,1478.0,1.2963039875030518,0.7177868485450745,10.0,4.696327209472656,2700.0,300.0,14.428911580238639,1
13,85.78113999960479,27.89351659823767,38.12701416015625,1733.0,204.83790588378906,0.497592568397522,60.0,4.774409770965576,1655.1737068960467,30.0,14.605301390342758,1
14,85.61359881651256,28.00921429180124,51.2608642578125,2260.0,180.0,0.6150125861167908,30.0,4.772528171539307,4420.599506854245,722.4956747275378,14.409385566456674,1
15,85.90413352306754,27.901740205067235,38.665775299072266,1808.0,124.50311279296875,0.35192251205444336,30.0,4.404165267944336,930.0,218.40329667841553,14.738958550873862,1
16,85.62449466055268,27.999248526087847,21.744163513183594,1881.0,240.85354614257812,0.8467618227005005,10.0,4.772528171539307,2903.962809679215,0.0,15.366255792388381,1
18,85.64123661467679,28.022615030954444,36.583011627197266,1957.0,278.7818298339844,0.09781477600336075,10.0,4.772528171539307,5356.491388959755,933.3809511662427,14.932017871047657,1
19,85.972782850038,27.803355186919585,62.814762115478516,1980.0,133.63575744628906,0.3886832296848297,30.0,4.383127212524414,8109.383453752819,335.4101966249685,14.001926026073793,1
20,85.68340716776686,27.994752481171734,47.84456253051758,2482.0,333.3764343261719,0.7416716814041138,10.0,4.758371829986572,5589.749547162199,510.8815909777921,14.825803092513475,1
21,85.9729208502281,27.804735385027733,48.02769088745117,2091.0,124.60346984863281,0.8348909616470337,30.0,4.383127212524414,8147.913843432562,234.30749027719963,14.630927400892922,1
22,85.97382645749934,27.805739678467443,40.04551315307617,2041.0,113.85826873779297,0.5462856888771057,10.0,4.383127212524414,8246.453783293762,268.3281572999748,14.522993134493307,1
23,85.9780776718157,27.80592321057497,44.264068603515625,2129.0,227.08042907714844,0.40458470582962036,30.0,4.383127212524414,8727.319176012757,108.16653826391968,14.629368609289447,1
24,85.93771904251265,27.785728243465154,49.627159118652344,1205.0,139.2004852294922,0.36764705181121826,30.0,5.2163896560668945,4200.0,108.16653826391968,13.844866607213996,1
25,85.92416213677018,27.78429225921749,46.01110076904297,1055.0,144.34750366210938,0.5238922834396362,30.0,5.2163896560668945,2700.0,84.8528137423857,13.66580463548293,1
26,85.92300160498088,27.797025370153644,26.66371726989746,1846.0,177.9115753173828,0.26658695936203003,30.0,5.2163896560668945,2580.0,0.0,14.923754110794878,1
27,85.92340168459582,27.79775362723108,39.5491828918457,1918.0,181.26980590820312,0.3368258774280548,10.0,5.2163896560668945,2610.0,30.0,14.483614829536911,1
28,85.92859936640484,27.79817090943033,37.59966278076172,1873.0,157.65362548828125,0.5569834113121033,10.0,5.2163896560668945,3180.0,120.0,14.860761559318876,1
29,85.92575994238156,27.79949861121675,39.569889068603516,2009.0,177.46160888671875,0.31655314564704895,30.0,5.2163896560668945,2880.0,60.0,14.527457829717052,1
30,85.92636134985838,27.79890723669247,29.64963722229004,1950.0,174.46548461914062,0.38674992322921753,30.0,5.2163896560668945,2940.0,42.42640687119285,14.443335425982449,1
