sample_id,longitude,latitude,Slope,Elevation,Aspect,NDVI,LULC,Rainfall,River Proximity,Road Proximity,TWI,removal_reason
82,85.59579450459191,27.744547769141345,,0.0,,,0.0,4.508334636688232,502.8916384272063,0.0,,missing_or_nodata_raster_value
102,85.4416497904068,27.94244289990381,0.0,0.0,0.0,,0.0,,,,,missing_or_nodata_raster_value
157,85.94748488129736,27.72154731455571,,2595.0,,,10.0,4.780183792114258,8513.342469324254,108.16653826391968,,missing_or_nodata_raster_value
856,85.4619421629737,27.86082061710463,,0.0,,,0.0,4.607892036437988,8455.796828211993,0.0,,missing_or_nodata_raster_value
857,85.46172042557187,27.861378300122865,,0.0,,,0.0,4.607892036437988,8481.249907885041,30.0,,missing_or_nodata_raster_value
0,85.86963495896583,27.7565803612722,36.5091552734375,843.0,336.708740234375,0.6159420013427734,10.0,5.7190961837768555,0.0,90.0,14.079446170248733,Rainfall_iqr_outlier
7,85.82579963899676,27.81707900635043,40.71978759765625,2445.0,199.89060974121094,0.5573088526725769,10.0,6.791383266448975,4755.638758358335,241.86773244895647,15.232722737342554,Rainfall_iqr_outlier
11,85.87597443814387,27.826620852635305,27.655017852783203,1093.0,227.1856231689453,0.20829154551029205,30.0,5.761692047119141,120.0,67.0820393249937,14.324327371844417,Rainfall_iqr_outlier
17,85.58015971832111,28.034043419625466,46.6426887512207,3086.0,128.8065185546875,0.35403209924697876,30.0,4.835017204284668,8879.391871068648,1456.4683312726027,14.898659052673848,Road Proximity_iqr_outlier
40,85.84942197922433,27.82314192853374,23.2856502532959,1454.0,19.891643524169922,0.46564269065856934,10.0,5.761692047119141,2040.2205763103163,108.16653826391968,15.024110909120688,Rainfall_iqr_outlier
42,85.83175875213708,27.757413640534413,34.24977493286133,869.0,183.08018493652344,0.4440745711326599,10.0,5.668778419494629,0.0,30.0,13.94617299000624,Rainfall_iqr_outlier
43,85.5890194462875,27.93641065513173,35.963287353515625,2135.0,203.8319091796875,0.799592912197113,10.0,5.441863059997559,3420.0,313.20919526731655,14.762608733042848,Rainfall_iqr_outlier
