sample_id,longitude,latitude,Slope,Elevation,Aspect,NDVI,LULC,Rainfall,River Proximity,Road Proximity,TWI,landslide
bg_0,85.57047043864081,27.79351474381478,23.05780792236328,832.0,142.99801635742188,0.5964184999465942,10.0,4.549545764923096,212.13203435596427,60.0,14.963269413945149,0
bg_1,85.63838307412024,27.923141639313226,28.086503982543945,1190.0,193.90530395507812,0.5739356279373169,30.0,4.625964164733887,120.0,30.0,14.58603540830095,0
bg_2,85.64565942792161,27.946587668228744,35.030738830566406,1503.0,255.28485107421875,0.5012875199317932,10.0,4.582652568817139,480.0,60.0,14.733549115343465,0
bg_3,85.53031574544067,28.119603191950166,39.57625198364258,4200.0,92.24475860595703,0.4989788830280304,100.0,4.091997146606445,10259.692977862447,5123.768144637304,15.363290567473465,0
bg_4,85.58367567331737,27.8921497620111,29.402864456176758,1672.0,152.93418884277344,0.7490149736404419,10.0,5.267827987670898,2652.413994835648,30.0,15.03080589614606,0
bg_5,85.48935256848482,28.081334960846675,51.62485122680664,4491.0,237.42581176757812,0.19164618849754333,60.0,4.169457912445068,10651.056285646038,5697.868022339584,15.226034504830432,0
bg_6,85.85882964484318,27.64178929232699,22.874011993408203,1770.0,202.94363403320312,0.5560538172721863,10.0,4.407373905181885,7228.008024345298,94.86832980505139,15.25251274578462,0
bg_7,85.90437422974804,27.687872866402323,19.432472229003906,2277.0,313.4932861328125,0.7908082604408264,10.0,4.370652198791504,8304.854002328999,108.16653826391968,15.682025849232476,0
bg_8,85.88200617917346,27.671433696702938,30.409507751464844,1997.0,94.74623107910156,0.7792088389396667,10.0,4.370652198791504,9325.513390693297,67.0820393249937,15.064677808560004,0
bg_9,85.64673740626256,27.873824130215063,37.970542907714844,1539.0,5.38539981842041,0.6302822828292847,30.0,4.559855937957764,3301.7722513825815,30.0,14.524581720800402,0
bg_10,85.98818704575639,27.87732755982313,34.219905853271484,3293.0,135.56570434570312,0.8347562551498413,10.0,4.215697765350342,7838.5011322318505,993.1767214348109,16.021143768825763,0
bg_11,85.5553787418676,27.821811675264545,15.377914428710938,1424.0,93.37425994873047,0.720842719078064,10.0,4.967405796051025,1802.4982662959762,67.0820393249937,15.071290085926778,0
bg_12,85.80924264115978,28.120411675705874,40.46614456176758,4625.0,292.30413818359375,-0.03982752934098244,100.0,3.67387318611145,8263.951839162666,1425.2368224263644,15.884503334014774,0
bg_13,85.7650455291811,28.135233877893846,32.26854705810547,4976.0,253.61953735351562,-0.07099324464797974,70.0,3.9751100540161133,7274.737108652106,4711.910440575033,16.020367899557662,0
bg_14,85.4734523879559,28.07055517743724,30.61383056640625,4235.0,64.04206085205078,0.3283272981643677,30.0,4.541608810424805,10792.872648187784,5135.172830587107,16.145505385426624,0
bg_15,85.61116412101143,27.783812938746287,24.258548736572266,1333.0,194.09986877441406,0.33135855197906494,30.0,4.361113548278809,2591.138745802702,0.0,14.861029085404253,0
bg_16,85.48342368760963,27.791897776303365,27.055763244628906,1944.0,104.68779754638672,0.8079863786697388,10.0,4.618796348571777,9720.046296186043,60.0,14.739970950358984,0
bg_17,85.54379047470246,27.8921497620111,33.255828857421875,1126.0,315.7140808105469,0.6858013868331909,10.0,5.103635787963867,270.0,30.0,14.085496232464626,0
bg_18,85.8364615942686,28.10046907639842,29.58615493774414,4175.0,356.2936096191406,0.3008316457271576,100.0,3.896871328353882,8834.885398238055,990.4544411531506,15.971789810841793,0
bg_19,85.68581412112175,27.91128387756285,32.36286544799805,2257.0,4.975016117095947,0.7790356278419495,10.0,4.5489630699157715,5506.941074680208,1026.1578825892243,15.37337945122315,0
bg_20,85.74941484323742,27.7883943466953,18.8265438079834,848.0,216.18202209472656,0.5601039528846741,10.0,5.361922740936279,1470.0,0.0,14.75066324369622,0
bg_21,85.6507798250411,27.759288931489824,29.179893493652344,1287.0,141.50746154785156,0.5900207757949829,10.0,4.361113548278809,3810.0,0.0,14.646654229951285,0
bg_22,85.76477603459587,27.81103189185511,24.433115005493164,846.0,117.59397888183594,0.4451565742492676,30.0,5.8279619216918945,210.0,0.0,14.655132099827911,0
