sample_id,longitude,latitude,Slope,Elevation,Aspect,NDVI,LULC,Rainfall,River Proximity,Road Proximity,TWI,landslide
bg_444,85.96015960889186,27.76602629612072,22.834915161132812,1959.0,267.79681396484375,0.6895585060119629,10.0,5.2163896560668945,6997.20658548824,607.4537019394976,15.567527706512564,0
524,85.75287037711895,27.91356540332724,40.33290481567383,1814.0,197.5815887451172,0.4049125015735626,30.0,4.774409770965576,1527.9397893896212,258.0697580112788,14.619952507229394,1
111,85.87949919292112,27.634412007574408,63.03284454345703,1556.0,34.549198150634766,0.8174827098846436,10.0,4.343433856964111,7464.274914551313,42.42640687119285,13.559051177168923,1
778,85.89358509512994,27.80428842915728,36.39598846435547,948.0,246.71681213378903,0.6087836027145386,10.0,4.941662311553955,0.0,67.0820393249937,14.064155716704684,1
bg_893,85.67530383229756,27.7568634802227,42.750980377197266,827.0,58.30907440185547,0.6449182033538818,10.0,4.0218892097473145,4260.105632493166,210.0,14.234792983989573,0
bg_1095,85.68931755072983,27.69892214439699,27.943828582763672,805.0,271.7487487792969,0.7614991664886475,10.0,3.767113208770752,690.0,330.0,14.230820741340308,0
bg_1059,85.94048650416964,27.929879003944123,34.293251037597656,1788.0,313.50006103515625,0.8102224469184875,10.0,4.404165267944336,360.0,123.69316876852982,14.681041326103546,0
621,85.75646102883772,27.92368793451423,42.37887573242188,2331.0,124.59083557128906,0.6935659646987915,10.0,4.774409770965576,1398.4634424968,256.3201123595259,14.934302791728198,1
133,85.9544094560524,27.78291520866082,22.8780574798584,1199.0,22.970314025878903,0.7270240783691406,10.0,5.216389656066895,6060.297022423902,60.0,14.028098733662423,1
622,85.75668966729336,27.923869908718427,37.269344329833984,2330.0,125.0557632446289,0.6645985245704651,10.0,4.774409770965576,1374.1178988718543,284.60498941515414,14.779272067892162,1
810,85.88815368153297,27.85856208752948,35.161964416503906,1660.0,224.57110595703125,0.4073192477226257,30.0,4.586504936218262,742.7651041883969,480.0,14.748785835134235,1
bg_354,85.75803866996496,27.87220716270365,33.17972946166992,1091.0,281.4231262207031,0.712380051612854,10.0,5.343934535980225,0.0,30.0,14.367932027775415,0
bg_463,85.77366935590865,27.71482232492591,24.815196990966797,704.0,11.404281616210938,0.6308249831199646,10.0,4.70947265625,240.0,0.0,14.668975907374406,0
236,85.49705766478658,27.8595437487134,30.28104782104492,1293.0,176.40432739257812,0.4022637009620666,60.0,4.607892036437988,4596.661832243047,90.0,14.33650660245384,1
bg_756,85.70602621501445,28.159218895979837,52.667823791503906,5324.0,229.1299285888672,0.040586795657873154,60.0,3.7445425987243652,6664.322921347674,10840.009225088326,15.215665293572604,0
bg_591,85.70845166628158,27.935538390234075,39.29213333129883,2681.0,341.7301025390625,0.7572709321975708,10.0,4.452770709991455,6811.783907318259,1110.0,15.425930725414231,0
208,85.52140884588317,27.886020177810327,39.29636001586914,1190.0,165.74923706054688,0.596657395362854,30.0,5.103635787963867,1838.831150486635,30.0,14.246583549833474,1
bg_181,85.61978794773897,28.001834058202096,44.19145965576172,1783.0,211.8739471435547,0.8004999160766602,10.0,4.772528171539307,3354.1019662496847,234.30749027719963,14.486359131511792,0
bg_489,85.52438686456549,28.010457884929643,39.14759826660156,2300.0,44.28547286987305,0.8204126358032227,10.0,4.726099014282227,8785.54494610323,313.20919526731655,15.017745721780408,0
1289,85.67615251265866,27.75804495678515,40.79498672485352,864.0,235.7565155029297,0.6061328649520874,30.0,4.263062000274658,4434.828068820707,60.0,13.818669941452931,1
471,85.52474561987712,28.00510338475215,29.28060913085937,2497.0,71.48452758789062,0.658831000328064,10.0,4.726099014282227,8248.854465924343,750.0,15.159353755866242,1
