longitude,latitude,Aspect,Slope,LULC,NDVI,Rainfall,TWI
85.86963495896583,27.7565803612722,336.70874,36.509155,10,0.615942,5.719096,14.079446170248733
85.74194461412213,27.86381603246813,152.73079,55.198463,30,0.662063,4.696327,13.656511977832
85.88764172041945,27.86256773330516,315.88605,38.27856,10,0.64531434,4.586505,14.396695358888715
85.73704296190492,27.86301697669006,138.70737,61.363068,60,0.43183094,4.696327,13.776602978642284
85.73667548204722,27.89870797787304,155.45984,45.407505,10,0.70581937,4.4527707,14.40572178276577
85.74008102667753,27.89227066206497,169.32094,30.66924,10,0.6223297,4.696327,14.71317989545308
85.73905613773522,27.88988402609659,24.023,30.32146,10,0.30490994,4.696327,14.36327531228753
85.82579963899676,27.81707900635043,199.89061,40.719788,10,0.55730885,6.7913833,15.232722737342554
85.8878924444891,27.813064820876765,224.31703,44.87066,30,0.26266852,4.9416623,14.293348512791944
85.58133491666376,28.03222396008928,141.0195,23.619984,30,0.41203704,4.835017,15.701460029340591
85.72544838528468,27.889435394823177,36.207474,34.29834,10,0.8132523,4.696327,14.807072980342427
85.87597443814387,27.826620852635305,227.18562,27.655018,30,0.20829155,5.761692,14.324327371844417
85.73416217450067,27.891364525664123,1.296304,38.993484,10,0.71778685,4.696327,14.428911580238639
85.78113999960479,27.89351659823767,204.8379,38.127014,60,0.49759257,4.77441,14.605301390342758
85.61359881651256,28.00921429180124,180.0,51.260864,30,0.6150126,4.772528,14.409385566456674
85.90413352306754,27.901740205067235,124.50311,38.665775,30,0.3519225,4.4041653,14.738958550873862
85.62449466055268,27.999248526087847,240.85355,21.744164,10,0.8467618,4.772528,15.366255792388381
85.58015971832111,28.034043419625466,128.80652,46.64269,30,0.3540321,4.835017,14.898659052673848
85.64123661467679,28.022615030954444,278.78183,36.58301,10,0.097814776,4.772528,14.932017871047657
85.972782850038,27.803355186919585,133.63576,62.814762,30,0.38868323,4.383127,14.001926026073793
85.68340716776686,27.994752481171734,333.37643,47.844563,10,0.7416717,4.758372,14.825803092513475
