Aspect,DEM,Slope,LULC,NDVI,Rainfall,TWI,River,Road
152.73079,1493,55.198463,30,0.662063,4.696327,13.656511977832,1380.0,123.69316876852982
315.88605,1724,38.27856,10,0.64531434,4.586505,14.396695358888715,657.9513659838393,666.1080993352356
138.70737,1626,61.363068,60,0.43183094,4.696327,13.776602978642284,1920.0,60.0
155.45984,1942,45.407505,10,0.70581937,4.4527707,14.40572178276577,2430.0,0.0
169.32094,1457,30.66924,10,0.6223297,4.696327,14.71317989545308,2040.0,42.42640687119285
24.023,1387,30.32146,10,0.30490994,4.696327,14.36327531228753,2160.0,67.0820393249937
224.31703,1104,44.87066,30,0.26266852,4.9416623,14.293348512791944,108.16653826391968,60.0
36.207474,1841,34.29834,10,0.8132523,4.696327,14.807072980342427,3595.6223383442257,192.09372712298543
1.296304,1478,38.993484,10,0.71778685,4.696327,14.42891158023864,2700.0,300.0
204.8379,1733,38.127014,60,0.49759257,4.77441,14.605301390342758,1655.1737068960467,30.0
180.0,2260,51.260864,30,0.6150126,4.772528,14.409385566456674,4420.599506854245,722.4956747275378
124.50311,1808,38.665775,30,0.3519225,4.4041653,14.738958550873862,930.0,218.40329667841556
240.85355,1881,21.744164,10,0.8467618,4.772528,15.36625579238838,2903.962809679215,0.0
278.78183,1957,36.58301,10,0.097814776,4.772528,14.932017871047655,5356.491388959755,933.3809511662428
133.63576,1980,62.814762,30,0.38868323,4.383127,14.001926026073791,8109.383453752819,335.4101966249685
333.37643,2482,47.844563,10,0.7416717,4.758372,14.825803092513476,5589.749547162199,510.8815909777921
124.60347,2091,48.02769,30,0.83489096,4.383127,14.630927400892922,8147.913843432562,234.30749027719963
113.85827,2041,40.045513,10,0.5462857,4.383127,14.522993134493309,8246.453783293762,268.3281572999748
227.08043,2129,44.26407,30,0.4045847,4.383127,14.629368609289449,8727.319176012757,108.16653826391968
139.20049,1205,49.62716,30,0.36764705,5.2163897,13.844866607213996,4200.0,108.16653826391968
144.3475,1055,46.0111,30,0.5238923,5.2163897,13.66580463548293,2700.0,84.8528137423857
177.91158,1846,26.663717,30,0.26658696,5.2163897,14.923754110794878,2580.0,0.0
181.2698,1918,39.549183,10,0.33682588,5.2163897,14.483614829536911,2610.0,30.0
157.65363,1873,37.599663,10,0.5569834,5.2163897,14.860761559318876,3180.0,120.0
177.46161,2009,39.56989,30,0.31655315,5.2163897,14.527457829717052,2880.0,60.0
174.46548,1950,29.649637,30,0.38674992,5.2163897,14.443335425982449,2940.0,42.42640687119285
162.9772,1879,39.097828,10,0.3125386,5.2163897,14.733217338748265,2910.0,0.0
256.52893,1850,42.09333,10,0.68897957,4.9416623,14.52745590334147,4262.640027025505,30.0
-0.0,1838,45.56248,10,0.5804878,4.9416623,14.40447530470612,3536.43888678993,30.0
339.6214,1753,50.40018,10,0.579288,4.9416623,14.204625960830525,3169.511003293726,108.16653826391968
336.404,1849,57.24698,10,0.48158255,4.9416623,14.088468383916592,3094.802093834111,134.1640786499874
0.8752873,1849,50.14824,10,0.4949644,4.9416623,14.236726072970807,3267.935127875093,180.0
3.6963944,1756,29.585878,10,0.6956688,4.9416623,14.956436829959058,3408.005281686048,94.8683298050514
290.7617,2010,39.419807,10,0.7042017,5.2163897,14.849192164943666,2887.6461001999533,134.1640786499874
250.1058,1891,40.572895,10,0.5022915,5.2163897,14.60390996100854,2520.0,30.0
128.46031,2053,48.871387,30,0.3112155,5.2163897,14.40696665666134,3815.783012698704,90.0
140.69554,1931,50.506207,30,0.66180134,5.2163897,14.282241673028672,3810.0,67.0820393249937
145.0153,1841,39.687,10,0.58882684,5.2163897,14.60786196302852,3690.0,108.16653826391968
199.83904,1926,38.966953,10,0.61162645,5.2163897,14.678652073679896,4470.402666427264,192.09372712298543
153.68016,2376,30.024471,30,0.39957264,4.9416623,15.124146268922068,6931.233656427981,835.7032966310471
160.39682,1777,51.438686,30,0.242223,5.2163897,14.34266380232403,7230.0,42.42640687119285
115.8732,2914,32.236492,30,0.38034606,4.383127,15.346314701365603,9380.218547560606,684.7627326307996
167.57895,2303,51.921494,10,0.43649948,4.9416623,14.220027697101305,6440.01552793159,330.0
210.63445,2228,38.31456,10,0.6010767,4.9416623,14.860747051855904,7704.803696396164,134.1640786499874
132.91621,2617,44.265873,30,0.6213518,4.383127,15.102175687300752,9527.586263057396,424.2640687119285
110.22908,2759,49.48912,30,0.48999014,4.383127,14.68165825294056,9502.615429448884,706.1161377563892
149.9701,2062,41.30869,30,0.1212954,4.5461755,14.672465414070532,6332.771904940206,523.9274758971894
141.115,1975,58.9909,10,0.670936,5.2217073,14.700309292496964,2664.4323973409423,212.1320343559643
154.12279,1779,37.07669,60,0.38504907,5.2217073,14.581070826493123,2608.6203249994046,30.0
56.695744,2176,40.529102,10,0.8159649,4.496347,14.751115243674397,6012.362264534631,174.92855684535903
139.78148,2149,60.389526,10,0.73587126,4.5461755,13.55533567897455,6400.624969485401,488.3646178829912
221.16399,1757,43.41394,50,0.25329223,4.625964,14.438012291831436,3126.0518229869444,30.0
211.4501,1695,35.072224,30,0.3997492,4.625964,14.85918782434238,3194.1195970094795,42.42640687119285
229.78957,1723,28.882471,60,0.46953404,4.625964,14.47382379208665,3166.385952470103,30.0
222.15062,1735,33.226265,60,0.14830177,4.548963,14.633031452336906,3233.465633032149,0.0
206.07224,1856,33.695385,60,0.4536817,4.625964,14.73518353581832,3061.3232433050907,0.0
156.13759,1004,22.152197,10,0.50554067,4.549546,14.702561471198994,1455.2319402761884,94.8683298050514
276.8737,1898,22.086023,10,0.4676282,4.607892,15.108600994592177,6600.0,0.0
59.802982,1896,40.98964,10,0.77272725,4.496347,14.153043376308135,2546.2914208707534,534.1348144429458
78.40663,1856,46.319546,10,0.6429624,4.496347,14.227303792643204,2414.953415699773,480.0
117.852234,1661,59.50204,10,0.60140824,4.804811,13.765828359640093,6039.246641759219,381.8376618407357
