,Aspect,DEM,Slope,LULC,NDVI,Rainfall,TWI,River,Road
Aspect,1.0,-0.005812352883322066,0.02788674490944891,0.02392532947663252,-0.09414071208042242,-0.07518978530687716,-0.021454703970295433,-0.0018122135969113671,-0.04234426751277538
DEM,-0.005812352883322066,1.0,0.16628597920446328,-0.008396412192467938,0.10572956869552758,-0.06907368995770394,0.5828589485008522,0.4000690574500115,0.5009173603881695
Slope,0.02788674490944891,0.16628597920446328,1.0,0.012726195828079767,-0.08542667074294136,0.036460450730124966,-0.49169727529172785,-0.023109737066265575,0.18547847223265948
LULC,0.02392532947663252,-0.008396412192467938,0.012726195828079767,1.0,-0.5556896204878274,-0.02400306724093955,0.0043860059163268635,-0.11539600591641021,-0.019883275134499334
NDVI,-0.09414071208042242,0.10572956869552758,-0.08542667074294136,-0.5556896204878274,1.0,-0.03988725409162442,0.1293946605787163,0.1560824554175038,0.09750790417584697
Rainfall,-0.07518978530687716,-0.06907368995770394,0.036460450730124966,-0.02400306724093955,-0.03988725409162442,1.0,-0.07678639242662846,-0.2638537518790537,-0.0074728393495541775
TWI,-0.021454703970295433,0.5828589485008522,-0.49169727529172785,0.0043860059163268635,0.1293946605787163,-0.07678639242662846,1.0,0.3137731703004693,0.19142587337029007
River,-0.0018122135969113671,0.4000690574500115,-0.023109737066265575,-0.11539600591641021,0.1560824554175038,-0.2638537518790537,0.3137731703004693,1.0,0.17273283560034686
Road,-0.04234426751277538,0.5009173603881695,0.18547847223265948,-0.019883275134499334,0.09750790417584697,-0.0074728393495541775,0.19142587337029007,0.17273283560034686,1.0
